iter	Passed	Remaining
399	40218	110600
400	40314	110488
401	40400	110348
402	40485	110204
403	40596	110132
404	40705	110055
405	40808	109962
406	40908	109859
407	40999	109733
408	41099	109632
409	41192	109510
410	41271	109354
411	41372	109256
412	41470	109148
413	41570	109046
414	41671	108947
415	41763	108825
416	41853	108699
417	41951	108592
418	42042	108467
419	42142	108365
420	42232	108238
421	42336	108149
422	42431	108034
423	42542	107960
424	42654	107890
425	42748	107773
426	42841	107656
427	42938	107548
428	43029	107422
429	43128	107320
430	43212	107177
431	43310	107073
432	43396	106937
433	43469	106769
434	43569	106670
435	43666	106563
436	43770	106471
437	43871	106372
438	43964	106256
439	44064	106154
440	44166	106059
441	44260	105944
442	44352	105824
443	44442	105700
444	44552	105625
445	44639	105493
446	44730	105371
447	44819	105246
448	44915	105136
449	45012	105029
450	45109	104922
451	45217	104840
452	45316	104738
453	45413	104630
454	45498	104496
455	45594	104386
456	45697	104293
457	45794	104186
458	45882	104061
459	45979	103954
460	46060	103811
461	46159	103708
462	46258	103606
463	46344	103477
464	46445	103379
465	46543	103274
466	46658	103208
467	46764	103120
468	46852	102994
469	46959	102911
470	47068	102831
471	47163	102721
472	47284	102665
473	47383	102564
474	47479	102455
475	47577	102352
476	47676	102248
477	47774	102146
478	47873	102044
479	47970	101936
480	48060	101816
481	48157	101711
482	48241	101576
483	48349	101493
484	48459	101414
485	48569	101337
486	48663	101224
487	48751	101099
488	48851	100999
489	48943	100883
490	49038	100773
491	49132	100660
492	49240	100579
493	49338	100474
494	49442	100382
495	49553	100305
496	49658	100216
497	49751	100101
498	49851	100002
499	49946	99892
500	50046	99793
501	50145	99692
502	50247	99596
503	50344	99490
504	50434	99370
505	50529	99261
506	50626	99155
507	50724	99052
508	50819	98944
509	50925	98856
510	51023	98752
511	51114	98635
512	51212	98532
513	51301	98411
514	51395	98299
515	51486	98183
516	51587	98086
517	51691	97993
518	51790	97892
519	51889	97792
520	51980	97675
521	52072	97561
522	52174	97464
523	52272	97363
524	52370	97259
525	52471	97162
526	52565	97052
527	52659	96941
528	52762	96847
529	52853	96732
530	52948	96624
531	53044	96516
532	53139	96409
533	53254	96336
534	53359	96247
535	53460	96148
536	53547	96026
537	53649	95930
538	53752	95837
539	53850	95733
540	53943	95623
541	54036	95510
542	54130	95401
543	54228	95298
544	54324	95191
545	54434	95110
546	54527	94999
547	54616	94881
548	54711	94773
549	54805	94663
550	54903	94561
551	54996	94450
552	55094	94347
553	55197	94254
554	55299	94159
555	55401	94062
556	55497	93956
557	55591	93848
558	55695	93755
559	55798	93661
560	55897	93561
561	56001	93468
562	56088	93347
563	56195	93260
564	56289	93151
565	56378	93033
566	56482	92941
567	56587	92852
568	56688	92753
569	56781	92643
570	56892	92562
571	56994	92466
572	57089	92359
573	57183	92249
574	57281	92148
575	57383	92052
576	57493	91969
577	57582	91853
578	57694	91773
579	57790	91667
580	57880	91553
581	57968	91434
582	58062	91326
583	58167	91236
584	58261	91126
585	58354	91017
586	58456	90921
587	58540	90797
588	58630	90682
589	58745	90607
590	58842	90503
591	58945	90409
592	59040	90303
593	59134	90194
594	59233	90094
595	59337	90001
596	59429	89890
597	59525	89785
598	59615	89672
599	59711	89567
600	59792	89440
601	59877	89319
602	59975	89217
603	60074	89117
604	60163	89002
605	60262	88901
606	60370	88815
607	60474	88722
608	60569	88616
609	60649	88488
610	60757	88401
611	60867	88317
612	60969	88221
613	61068	88121
614	61177	88036
615	61268	87924
616	61365	87821
617	61466	87724
618	61569	87630
619	61673	87536
620	61789	87459
621	61907	87386
622	61994	87270
623	62093	87169
624	62187	87063
625	62290	86967
626	62379	86853
627	62482	86759
628	62578	86654
629	62683	86563
630	62774	86451
631	62861	86334
632	62964	86240
633	63068	86146
634	63168	86048
635	63265	85945
636	63369	85852
637	63470	85754
638	63567	85652
639	63660	85543
640	63754	85437
641	63851	85334
642	63939	85220
643	64036	85116
644	64146	85031
645	64234	84916
646	64334	84818
647	64440	84727
648	64536	84623
649	64637	84525
650	64731	84419
651	64821	84307
652	64931	84222
653	65021	84109
654	65128	84021
655	65229	83923
656	65335	83831
657	65432	83729
658	65525	83622
659	65618	83514
660	65718	83415
661	65817	83315
662	65910	83207
663	66002	83099
664	66100	82998
665	66196	82894
666	66382	82903
667	66504	82831
668	66618	82750
669	66748	82688
670	66860	82603
671	66968	82514
672	67077	82427
673	67188	82341
674	67284	82236
675	67382	82135
676	67480	82033
677	67578	81932
678	67659	81808
679	67761	81712
680	67853	81603
681	67948	81498
682	68048	81398
683	68138	81288
684	68236	81187
685	68328	81077
686	68428	80978
687	68514	80862
688	68610	80759
689	68698	80646
690	68802	80552
691	68915	80467
692	69021	80375
693	69115	80269
694	69204	80157
695	69294	80046
696	69384	79936
697	69481	79834
698	69575	79727
699	69672	79625
700	69772	79526
701	69855	79408
702	69950	79304
703	70055	79210
704	70164	79121
705	70266	79024
706	70362	78920
707	70469	78829
708	70566	78728
709	70658	78620
710	70778	78543
711	70879	78445
712	70967	78333
