iter	Quantile:alpha=0.75
0	0.1627771188
1	0.1564358797
2	0.150547614
3	0.1448171863
4	0.1395133636
5	0.1341215227
6	0.1290524466
7	0.1241825566
8	0.1196737937
9	0.1155213281
10	0.1115898681
11	0.1078666032
12	0.1043831402
13	0.1011047311
14	0.09811204026
15	0.09502877691
16	0.09215450834
17	0.08952557814
18	0.08711788525
19	0.08489398755
20	0.08272962285
21	0.08061666936
22	0.07853517589
23	0.07671525115
24	0.07505445561
25	0.07343056482
26	0.07191142657
27	0.07048982745
28	0.06918663277
29	0.06791827638
30	0.0668358461
31	0.06564169464
32	0.06452670934
33	0.06354585808
34	0.06263522209
35	0.06171419564
36	0.06087473262
37	0.06010001262
38	0.05929338556
39	0.05868744436
40	0.05791819338
41	0.05712249647
42	0.05638385512
43	0.0556409215
44	0.05507704769
45	0.05447158297
46	0.05403974046
47	0.0534457332
48	0.05286644779
49	0.05234916613
50	0.05184336141
51	0.05137147809
52	0.05093869277
53	0.05058811855
54	0.05015271243
55	0.04971937109
56	0.04938787722
57	0.0490465815
58	0.04867793308
59	0.04835838428
60	0.04812569053
61	0.04781123617
62	0.04749471697
63	0.04716522781
64	0.04687494121
65	0.04656817215
66	0.04632868749
67	0.04606414574
68	0.04578927251
69	0.0455477882
70	0.0453205633
71	0.0451066549
72	0.04490533538
73	0.04473361894
74	0.04452460526
75	0.04433191277
76	0.04411944256
77	0.04394390049
78	0.04372055205
79	0.04355228383
80	0.04337487088
81	0.04324833018
82	0.04311081155
83	0.04294533875
84	0.04277133636
85	0.04262671217
86	0.04249193857
87	0.04235826011
88	0.04226316568
89	0.04215646042
90	0.04204932854
91	0.04190586622
92	0.04175609375
93	0.04161998828
94	0.04153423136
95	0.04145533236
96	0.04131126521
97	0.04120677988
98	0.04111358828
99	0.04102381406
100	0.04088160512
101	0.04080389418
102	0.04073438825
103	0.04065669417
104	0.04058572565
105	0.04048462248
106	0.04037255529
107	0.04030032583
108	0.04022204937
109	0.04009025119
110	0.04000231068
111	0.03993527783
112	0.03985712979
113	0.03977526178
114	0.03971691121
115	0.03962981665
116	0.03956977341
117	0.03951281765
118	0.03944472533
119	0.03937010497
120	0.03929333872
121	0.03924297672
122	0.03920342183
123	0.03914455185
124	0.03907705819
125	0.03903508648
126	0.03898158601
127	0.03891761648
128	0.03885869857
129	0.0388169369
130	0.03875704047
131	0.03871348164
132	0.03866854706
133	0.03863463331
134	0.03857721878
135	0.03851837494
136	0.03847963096
137	0.03843139798
138	0.03838223383
139	0.03832474907
140	0.03829406724
141	0.03823915851
142	0.03820855112
143	0.03815553305
144	0.03813026175
145	0.03807653674
146	0.03802876389
147	0.03801166477
148	0.0380049165
149	0.03797243916
150	0.03792328191
151	0.03787913208
152	0.03783238286
153	0.03779553004
154	0.03776261655
155	0.03768031917
156	0.03764137521
157	0.03754513162
158	0.03748423801
159	0.03743495561
160	0.0373696998
161	0.03730566642
162	0.03724859408
163	0.0372098352
164	0.03718474961
165	0.03714959981
166	0.0371100898
167	0.03708033726
168	0.03703867496
169	0.03697241477
170	0.03693247881
171	0.03685437905
172	0.03680982272
173	0.03676042946
174	0.03672505602
175	0.03669871713
176	0.03664837459
177	0.03660497252
178	0.0365484779
179	0.03652861787
180	0.03650687515
181	0.03648421607
182	0.0364414139
183	0.03639373644
184	0.03636259651
185	0.03633611954
186	0.0362988987
187	0.036255565
188	0.0362210499
189	0.03618474848
190	0.03615606036
191	0.03611227628
192	0.03607726401
193	0.03604267307
194	0.03600686035
195	0.03598831452
196	0.03592696023
197	0.03588135551
